mpg,cylinders,horsepower,model year
15,8,135,70
18,8,129,70
16,8,129,70
17,8,124,70
15,8,142,70
14,8,147,70
14,8,146,70
14,8,148,70
15,8,140,70
15,8,137,70
18,8,130,70
15,8,165,70
18,8,150,70
16,8,150,70
17,8,140,70
15,8,198,70
18,6,97,70
21,6,85,70
27,4,88,70
26,4,46,70
25,4,87,70
24,4,90,70
25,4,95,70
26,4,113,70
21,6,90,70
10,8,215,70
10,8,200,70
30,4,76,71
31,4,65,71
35,4,69,71
27,4,60,71
26,4,70,71
24,4,95,72
25,4,80,72
23,4,54,72
20,4,90,72
21,4,86,72
18,4,112,72
22,4,76,72
21,4,87,72
26,4,69,72
22,4,86,72
28,4,92,72
23,4,97,72
28,4,80,72
27,4,88,72
13,8,175,73
14,8,150,73
13,8,145,73
14,8,137,73
15,8,150,73
12,8,198,73
13,8,150,73
13,8,158,73
14,8,150,73
13,8,215,73
19,4,112,73
15,8,150,73
24,4,110,73
20,6,122,73
11,8,180,73
20,6,95,74
21,6,?,74
19,6,100,74
15,6,100,74
31,4,67,74
26,4,80,74
32,4,65,74
25,4,75,74
16,6,100,74
16,6,110,74
18,6,105,74
26,4,75,74
24,4,97,74
26,4,93,74
31,4,67,74
19,6,95,75
18,6,105,75
15,6,72,75
15,6,72,75
16,8,170,75
15,8,145,75
16,8,150,75
14,8,148,75
17,6,110,75
22,6,100,76
22,6,105,76
24,6,81,76
29,4,52,76
19,4,88,76
19,6,108,76
13,8,145,76
13,8,130,76
13,8,150,76
30,4,80,77
36,4,58,77
17,8,110,77
15,8,130,77
19,6,100,77
25, 4, 80, 77
